"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 16 16:00:08 IST 2023","Mon Jan 16 16:00:19 IST 2023","11525","Default suite","Default test","tests.Test_Play_Store_and_unit_converter","tests.Test_Play_Store_and_unit_converter","test_uc","test_uc","conversion verifications"
"broken","Mon Jan 16 14:58:05 IST 2023","Mon Jan 16 14:58:05 IST 2023","2","Default suite","Default test","tests.Test_Play_Store_and_unit_converter","tests.Test_Play_Store_and_unit_converter","setup","setup",""
"passed","Mon Jan 16 15:59:14 IST 2023","Mon Jan 16 16:00:08 IST 2023","53687","Default suite","Default test","tests.Test_Play_Store_and_unit_converter","tests.Test_Play_Store_and_unit_converter","playstore_test","playstore_test","PlayStore verification"
"failed","Mon Jan 16 16:00:20 IST 2023","Mon Jan 16 16:00:22 IST 2023","1673","Default suite","Default test","tests.Test_Play_Store_and_unit_converter","tests.Test_Play_Store_and_unit_converter","value_3_test","value_3_test",""
"passed","Mon Jan 16 16:00:20 IST 2023","Mon Jan 16 16:00:20 IST 2023","209","Default suite","Default test","tests.Test_Play_Store_and_unit_converter","tests.Test_Play_Store_and_unit_converter","value_2_test","value_2_test",""
"passed","Mon Jan 16 16:00:19 IST 2023","Mon Jan 16 16:00:20 IST 2023","790","Default suite","Default test","tests.Test_Play_Store_and_unit_converter","tests.Test_Play_Store_and_unit_converter","value_1_test","value_1_test",""
"passed","Mon Jan 16 16:00:22 IST 2023","Mon Jan 16 16:00:25 IST 2023","2526","Default suite","Default test","tests.Test_Play_Store_and_unit_converter","tests.Test_Play_Store_and_unit_converter","closing_and_uninstalling","closing_and_uninstalling",""
